hjd,camera,filter,mag,mag err,flux (mJy),flux err
2456826.80625,ba,V,4.442,0.02,64124.959,1179.899
2457852.89035,ba,V,4.666,0.02,52177.07,960.058
2457581.77845,ba,V,4.662,0.02,52370.478,963.617
2458451.15407,ba,V,4.761,0.02,47810.4,879.711
2457135.82695,ba,V,4.494,0.02,61153.929,1125.232
2457460.88524,ba,V,4.611,0.02,54878.783,1009.77
2458298.77759,ba,V,4.783,0.02,46847.295,861.99
2457196.8546,ba,V,4.499,0.02,60856.421,1119.758
2457802.95539,ba,V,4.618,0.02,54549.84,1003.717
2457537.85005,ba,V,4.627,0.02,54112.82,995.676
2457757.0883,ba,V,4.586,0.02,56173.065,1033.584
2456787.87398,ba,V,4.428,0.02,64961.333,1195.289
2456681.98715,ba,V,4.549,0.02,58133.7,1069.66
2457847.99934,ba,V,4.607,0.02,55103.515,1013.905
2457565.79088,ba,V,4.564,0.02,57308.241,1054.472
2457062.01594,ba,V,4.494,0.02,61147.345,1125.111
2457398.06858,ba,V,4.593,0.02,55786.987,1026.481
2457397.06034,ba,V,4.568,0.02,57097.939,1050.602
2457914.85824,ba,V,4.737,0.02,48855.571,898.943
2457036.08114,ba,V,4.465,0.02,62773.142,1155.026
2457481.96499,ba,V,4.517,0.02,59865.843,1101.532
2457904.89411,ba,V,4.657,0.02,52627.744,968.35
2457421.07824,ba,V,4.541,0.02,58572.001,1077.725
2456785.81805,ba,V,4.465,0.02,62819.805,1155.884
2458261.78389,ba,V,4.747,0.02,48451.47,891.507
2457392.11134,ba,V,4.578,0.02,56579.229,1041.058
2457049.06209,ba,V,4.47,0.02,62525.123,1150.462
2457430.97194,ba,V,4.628,0.02,54059.574,994.696
2457405.03772,ba,V,4.596,0.02,55648.833,1023.939
2457212.81767,ba,V,4.481,0.02,61846.135,1137.969
2457447.06728,ba,V,4.549,0.02,58142.654,1069.825
2457056.02229,ba,V,4.549,0.02,58143.223,1069.835
2456818.8372,ba,V,4.429,0.02,64934.185,1194.789
2457466.86336,ba,V,5.544,0.02,23234.557,427.516
2457082.93383,ba,V,4.623,0.02,54275.069,998.661
2458275.8599,ba,V,4.681,0.02,51445.538,946.598
2457021.07553,ba,V,4.497,0.02,60950.957,1121.498
2457003.13988,ba,V,4.5,0.02,60789.19,1118.521
2458194.91397,ba,V,4.808,0.02,45773.092,842.225
2457508.86076,ba,V,4.578,0.02,56581.708,1041.103
2457955.77514,ba,V,4.617,0.02,54607.676,1004.781
2457548.88067,ba,V,4.582,0.02,56364.524,1037.107
2457100.0608,ba,V,4.458,0.02,63201.265,1162.903
2456999.13004,ba,V,4.631,0.02,53904.732,991.847
2456815.83783,ba,V,4.428,0.02,64941.277,1194.92
2456992.1568,ba,V,4.517,0.02,59836.3,1100.988
2457490.95936,ba,V,4.561,0.02,57489.473,1057.806
2458269.85883,ba,V,4.727,0.02,49338.744,907.833
2458120.08246,ba,V,4.798,0.02,46199.262,850.066
2457131.05131,ba,V,4.515,0.02,59969.242,1103.434
2456832.79984,ba,V,4.42,0.02,65423.933,1203.8
2457043.06683,ba,V,4.506,0.02,60456.607,1112.402
2457191.83013,ba,V,4.506,0.02,60490.335,1113.022
2457476.91085,ba,V,4.574,0.02,56817.851,1045.448
2457156.88227,ba,V,4.51,0.02,60240.93,1108.433
2457162.89001,ba,V,4.484,0.02,61678.04,1134.876
2457720.16155,ba,V,4.921,0.02,41251.504,759.028
2457419.02068,ba,V,4.545,0.02,58312.506,1072.95
2457388.10937,ba,V,4.588,0.02,56072.18,1031.728
2457412.12014,ba,V,4.566,0.02,57207.851,1052.624
2457184.80388,ba,V,4.463,0.02,62881.6,1157.021
2456995.14652,ba,V,4.53,0.02,59120.15,1087.811
2457356.16151,ba,V,4.77,0.02,47435.852,872.82
2457576.79662,ba,V,4.576,0.02,56687.271,1043.046
2457878.82117,ba,V,4.642,0.02,53340.488,981.465
2456817.82455,ba,V,4.474,0.02,62274.245,1145.846
2457137.88296,ba,V,4.489,0.02,61402.69,1129.81
2457879.8132,ba,V,4.675,0.02,51753.07,952.256
